ROI,Area,Mean,Min,Max,MinThr,MaxThr
0015-0023-0687,357.441,0,0,0,0,65535
0015-0024-0688,158.132,2269.012,0,13817,0,65535
0015-0025-0737,534.888,0.245,0,456,0,65535
0015-0026-0832,354.045,1825.857,0,12095,0,65535
0015-0027-0844,123.746,0,0,0,0,65535
0015-0028-0882,134.783,3029.175,0,31724,0,65535
0015-0029-0929,355.106,2322.618,0,32929,0,65535
0016-0001-0028,259.803,508.614,0,7136,0,65535
0016-0002-0059,195.913,4450.165,0,21806,0,65535
0016-0003-0156,278.057,3102.55,0,19774,0,65535
0016-0004-0157,185.088,10.889,0,1627,0,65535
0016-0005-0192,1150.434,12540.911,0,35512,0,65535
0016-0006-0211,130.114,8229.817,0,34616,0,65535
0016-0007-0237,212.469,2495.311,0,12302,0,65535
0016-0008-0283,292.278,0.874,0,559,0,65535
0016-0009-0309,175.961,10412.811,0,32309,0,65535
0016-0010-0323,200.795,1174.791,0,14127,0,65535
0016-0011-0327,175.112,4022.248,0,24768,0,65535
0016-0012-0374,715.307,10061.055,0,45016,0,65535
0016-0013-0395,859.854,7454.506,0,22185,0,65535
0016-0014-0372,155.585,2981.87,0,23080,0,65535
0016-0015-0467,997.609,10653.417,0,53694,0,65535
0016-0016-0513,299.495,1042.164,0,7584,0,65535
0016-0017-0535,188.06,3217.296,0,15883,0,65535
0016-0018-0568,202.918,3829.394,0,22150,0,65535
0016-0019-0581,120.35,2835.429,0,13886,0,65535
0016-0020-0591,121.836,3598.672,0,16606,0,65535
0016-0021-0630,504.323,969.261,0,8376,0,65535
0016-0022-0652,111.011,7588.719,0,28039,0,65535
0016-0023-0671,217.351,4703.687,0,21221,0,65535
0016-0024-0702,256.194,4144.288,0,16159,0,65535
0016-0025-0727,652.266,6102.052,0,37681,0,65535
0016-0026-0711,220.747,3468.737,0,14299,0,65535
0016-0027-0737,216.29,0,0,0,0,65535
0016-0028-0808,134.359,19899.616,0,65535,0,65535
0016-0029-0871,343.008,11055.782,0,46910,0,65535
0016-0030-0926,101.883,0,0,0,0,65535
0016-0031-0932,144.123,193.863,0,4588,0,65535
0016-0032-0976,251.525,4773.8,0,20188,0,65535
0017-0001-0059,405.836,763.849,0,11751,0,65535
0017-0002-0092,244.52,998.016,0,9857,0,65535
0017-0003-0241,355.955,307.152,0,7102,0,65535
0017-0004-0235,244.096,674.13,0,10924,0,65535
0017-0005-0301,136.694,415.75,0,4760,0,65535
0017-0006-0306,208.437,212.325,0,5380,0,65535
0017-0007-0349,284,78.753,0,4623,0,65535
0017-0008-0362,199.522,299.035,0,5380,0,65535
0017-0009-0360,183.178,983.768,0,8204,0,65535
0017-0010-0396,266.171,4484.385,0,22460,0,65535
0017-0011-0424,499.653,399.866,0,7791,0,65535
0017-0012-0455,183.178,1550.4,0,10718,0,65535
0017-0013-0471,338.762,1174.358,0,8755,0,65535
0017-0014-0514,896.787,4048.451,0,65535,0,65535
0017-0015-0534,264.897,2440.742,0,15986,0,65535
0017-0016-0667,689.836,3319.549,0,29623,0,65535
0017-0017-0677,284.637,1634.385,0,40849,0,65535
0017-0018-0734,222.446,801.257,0,6344,0,65535
0017-0019-0830,152.188,2364.127,0,12990,0,65535
0017-0020-0896,189.758,72.151,0,3555,0,65535
0018-0001-0017,100.398,5059.372,0,18982,0,65535
0018-0002-0027,101.459,4808.952,0,17019,0,65535
0018-0003-0248,146.245,11405.742,0,33204,0,65535
0018-0004-0288,305.014,10394.848,0,26489,0,65535
0018-0005-0352,334.73,259.252,0,3658,0,65535
0018-0006-0479,281.665,3278.572,0,13059,0,65535
0018-0007-0619,305.014,2445.39,0,9030,0,65535
0018-0008-0683,132.448,1026.917,0,9030,0,65535
0018-0009-0710,269.142,6412.24,0,20773,0,65535
0018-0010-0722,468.664,2375.735,0,13025,0,65535
0018-0011-0744,262.562,2756.693,0,15539,0,65535
0018-0012-0974,186.362,17.639,0,1868,0,65535
0018-0013-1027,161.528,25.543,0,2901,0,65535
0019-0001-0069,136.906,1812.51,0,12646,0,65535
0019-0002-0178,733.773,69.161,0,14712,0,65535
0019-0003-0138,119.289,3662.105,0,18053,0,65535
0019-0004-0176,368.478,407.384,0,10890,0,65535
0019-0005-0165,159.193,9586.805,0,38680,0,65535
0019-0006-0189,368.266,11471.248,0,29967,0,65535
0019-0007-0198,236.242,3831.457,0,17226,0,65535
0019-0008-0234,325.603,7.911,0,4278,0,65535
0019-0009-0236,135.42,2818.15,0,13610,0,65535
0019-0010-0235,164.712,3424.589,0,15642,0,65535
0019-0011-0267,111.435,7,0,2074,0,65535
0019-0012-0306,160.042,10125.776,0,65535,0,65535
0019-0013-0345,336.215,1.499,0,1558,0,65535
0019-0014-0441,229.875,4.457,0,1110,0,65535
0019-0015-0487,577.976,8812.275,0,24699,0,65535
0019-0016-0579,174.688,416.751,0,5242,0,65535
0019-0017-0591,129.689,8510.108,0,42364,0,65535
0019-0018-0641,591.349,891.714,0,10614,0,65535
0019-0019-0657,395.647,3075.726,0,10649,0,65535
0019-0020-0664,269.779,10292.258,0,29899,0,65535
0019-0021-0678,156.646,2947.19,0,8342,0,65535
0019-0022-0690,388.431,17.962,0,3038,0,65535
0019-0023-0699,284.849,9319.125,0,49011,0,65535
0019-0024-0718,230.724,5141.401,0,48115,0,65535
0019-0025-0727,275.51,12030.119,0,37991,0,65535
0019-0026-0740,122.472,2387.889,0,12612,0,65535
0019-0027-0789,267.02,3.898,0,2143,0,65535
0019-0028-0961,143.698,967.826,0,7274,0,65535
0020-0001-0020,279.543,10.87,0,1489,0,65535
0020-0002-0012,124.595,128.036,0,2384,0,65535
0020-0003-0035,428.972,174.928,0,2935,0,65535
0020-0004-0028,178.933,1256.262,0,9719,0,65535
0020-0005-0056,262.774,2.845,0,731,0,65535
0020-0006-0064,395.86,1215.433,0,6413,0,65535
